geracao,barras,potencias,energias,violacao,custo
1,"[3, 4]","[9.696097780007696, 42.18192619484063]","[122.49398650814405, 191.29063275518502]",3.4722222222222223,365.6626432381774
1,"[3, 4]","[9.696097780007696, 42.18192619484063]","[122.49398650814405, 191.29063275518502]",3.4722222222222223,365.6626432381774
1,"[3, 13]","[12.220432905304085, 38.482200300041136]","[122.70901262142483, 155.10092578844004]",13.888888888888888,328.51257161521005
1,"[12, 2]","[49.01512719813037, 76.92467984757822]","[71.34939611926528, 98.99596898255803]",127.08333333333333,296.28517214753185
1,"[14, 13]","[16.569526556294953, 27.90482608184075]","[122.93555823576224, 116.97244328749562]",260.41666666666663,284.38235416139355
1,"[4, 5]","[69.9859961095743, 33.8491851125731]","[83.52790273091908, 86.10665873914675]",684.7222222222221,273.46974269221323
1,"[1, 3]","[90.3307578308439, 44.81973426319424]","[168.93410050703176, 80.1081761101458]",81.94444444444446,384.19276871121565
1,"[4, 13]","[49.19421696762249, 43.32837951280086]","[161.3749783171299, 171.8434296945333]",54.166666666666664,425.7410044920865
1,"[13, 1]","[10.091261220461867, 87.69788412468465]","[61.33180072728565, 140.6954102014633]",127.08333333333334,299.8163562738955
1,"[13, 1]","[10.091261220461867, 87.69788412468465]","[61.33180072728565, 140.6954102014633]",127.08333333333334,299.8163562738955
1,"[13, 11]","[26.058152063473987, 67.2342009346917]","[68.3792399440647, 114.5504734751706]",713.8888888888889,276.222066417401
1,"[13, 11]","[26.058152063473987, 67.2342009346917]","[68.3792399440647, 114.5504734751706]",713.8888888888889,276.222066417401
1,"[13, 2]","[49.088537380731445, 49.56088485420699]","[147.50499283645274, 74.05255631349208]",148.61111111111111,320.2069713848832
1,"[11, 14]","[17.6657307978777, 34.949298289703314]","[79.49776083288731, 152.6330172686015]",327.7777777777778,284.7458071890698
1,"[11, 14]","[17.6657307978777, 34.949298289703314]","[79.49776083288731, 152.6330172686015]",327.7777777777778,284.7458071890698
1,"[11, 14]","[17.6657307978777, 34.949298289703314]","[79.49776083288731, 159.8471750751983]",327.7777777777778,284.7458071890698
2,"[5, 2]","[35.210207331509515, 17.02556928997533]","[59.77419542857514, 31.39720487316655]",84.02777777777779,143.40717692322653
2,"[5, 10]","[17.42128646777082, 19.139747443255356]","[78.27000431052991, 52.34713662465383]",0.0,167.1781748462099
2,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 51.452678241816784]",40.27777777777778,167.90601574901171
2,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
2,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
2,"[10, 5]","[7.1914826081102, 4.319992299746151]","[88.9063154469661, 76.87594210259515]",40.27777777777778,167.90601574901171
2,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
2,"[10, 5]","[7.090888993670367, 20.233666531648545]","[88.24509564741315, 86.80809990193039]",0.0,202.37775107466246
2,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
2,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
2,"[10, 5]","[7.191482608110199, 20.3555394521186]","[88.9063154469661, 88.67067224651672]",0.0,205.12400975371162
2,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
2,"[14, 8]","[15.430468438250072, 31.139448718654382]","[5.369012680570279, 91.72500035510487]",150.0,183.39696864884633
2,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
2,"[10, 1]","[7.1914826081102, 20.30748541045848]","[88.9063154469661, 66.5052342577564]",168.75,182.9105177232912
2,"[5, 10]","[10.956929746993072, 38.726028120144285]","[108.74138855131146, 86.5100891840197]",38.19444444444444,244.9344356024685
2,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
2,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
2,"[13, 10]","[22.299182646130888, 29.44899448228463]","[111.34041932031423, 66.74057672192603]",138.19444444444446,241.72277161882005
2,"[13, 10]","[21.956751022318592, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
2,"[7, 10]","[22.299182646130888, 29.44899448228463]","[111.34041932031423, 70.05899416118389]",138.19444444444446,241.72277161882005
2,"[5, 3]","[10.783365203771254, 39.20176270370659]","[110.63455389371481, 100.93404706236092]",0.0,261.5537288635536
2,"[5, 13]","[18.747728377364275, 35.0334077142191]","[114.51001896399211, 78.64105388864249]",1.3888888888888888,246.93220894421796
2,"[5, 14]","[13.314707726201592, 40.649971297842484]","[74.93807751699138, 104.09705837695384]",152.77777777777777,232.99981491798928
2,"[14, 7]","[18.246179229877562, 47.74213245831219]","[49.48261537546289, 79.51294746704994]",387.5,194.9838745307026
2,"[7, 4]","[29.085553755030546, 38.13112466101403]","[109.20529566328428, 45.73949447225256]",273.61111111111114,222.1614685515814
2,"[5, 12]","[30.286853897623075, 34.4245387557711]","[115.89522837498245, 95.48417815208657]",0.0,276.0907991804632
2,"[7, 13]","[20.710931965204367, 62.27541133154287]","[88.09777543759078, 87.48582428603436]",147.2222222222222,258.56994302037236
2,"[7, 13]","[21.05324078247987, 62.27541133154287]","[88.09777543759078, 87.48582428603436]",147.2222222222222,258.56994302037236
2,"[5, 8]","[32.462156845547526, 29.868669349501545]","[73.57569071861721, 131.65764448488997]",35.41666666666667,267.5641613985563
2,"[12, 3]","[33.444869985731586, 49.81692285302469]","[122.68664813160521, 60.90706154260276]",95.13888888888889,266.8555025129642
2,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
2,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
2,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
2,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
2,"[8, 5]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
2,"[13, 14]","[17.85272305096069, 42.11031785166754]","[72.6553181451664, 82.91423409524977]",402.08333333333337,215.53259314304438
2,"[13, 14]","[17.85272305096069, 49.192390132895945]","[70.50855682434036, 82.91423409524977]",402.08333333333337,215.53259314304438
2,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.93559747939175]",319.44444444444446,226.45381721911633
2,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.52499816008423]",319.44444444444446,226.45381721911633
2,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.93559747939175]",319.44444444444446,226.45381721911633
